CarModel,Year,Engine,Fuel,Price,Milage
BMW X5,2008,3 000 cm3,Diesel,11 000                    EUR,142 000 km
BMW X1,2011,1 995 cm3,Diesel,8 990                    EUR,196 000 km
BMW Seria 1 120,2013,1 995 cm3,Diesel,8 800                    EUR,145 000 km
BMW Seria 3 328,2014,1 997 cm3,Benzina,17 700                    EUR,135 000 km
BMW X6,2012,2 995 cm3,Diesel,24 900                    EUR,158 500 km
BMW X5,2014,3 000 cm3,Diesel,35 800                    EUR,185 000 km
BMW X3,2016,2 000 cm3,Diesel,27 950                    EUR,33 700 km
BMW Seria 5 520,2011,1 995 cm3,Diesel,11 699                    EUR,262 000 km
BMW Seria 5 530,2012,2 997 cm3,Diesel,13 470                    EUR,197 600 km
BMW X1,2010,1 995 cm3,Diesel,10 850                    EUR,249 000 km
BMW X6,2009,2 993 cm3,Diesel,16 250                    EUR,207 000 km
BMW Seria 5 520,2014,1 995 cm3,Diesel,21 360                    EUR,153 000 km
BMW X6,2016,3 000 cm3,Diesel,56 700                    EUR,63 700 km
BMW Seria 4 420,2017,1 995 cm3,Diesel,42 364                    EUR,14 738 km
BMW Seria 6 GT,2017,2 993 cm3,Diesel,62 328                    EUR,13 km
BMW Seria 5,2012,2 993 cm3,Diesel,23 000                    EUR,145 000 km
BMW X1,2013,1 989 cm3,Diesel,13 990                    EUR,133 200 km
BMW X3,2008,1 998 cm3,Diesel,8 500                    EUR,140 000 km
BMW X6,2011,2 998 cm3,Diesel,19 500                    EUR,242 500 km
BMW Seria 5 520,2015,2 000 cm3,Diesel,16 950                    EUR,168 600 km
BMW Seria 3 320,2013,1 995 cm3,Diesel,16 400                    EUR,193 000 km
BMW X6,2011,2 998 cm3,Diesel,17 490                    EUR,177 480 km
BMW X5,2011,2 995 cm3,Diesel,14 300                    EUR,225 000 km
BMW Seria 5 520,2015,1 989 cm3,Diesel,17 999                    EUR,150 000 km
BMW Seria 5 520,2016,1 995 cm3,Diesel,17 800                    EUR,174 200 km
BMW Seria 1 118,2013,1 995 cm3,Diesel,12 990                    EUR,74 114 km
BMW Seria 5 520,2013,1 995 cm3,Diesel,19 900                    EUR,111 135 km
BMW X5,2015,2 995 cm3,Diesel,33 999                    EUR,185 000 km
BMW X3,2008,1 995 cm3,Diesel,7 899                    EUR,160 543 km
BMW X3,2008,1 996 cm3,Diesel,6 990                    EUR,189 000 km
BMW X5,2014,2 998 cm3,Diesel,36 950                    EUR,150 000 km
BMW X2,2018,1 995 cm3,Diesel,44 625                    EUR,6 100 km
BMW X1,2015,1 995 cm3,Diesel,17 326                    EUR,55 790 km
BMW X3,2018,1 995 cm3,Diesel,55 872                    EUR,9 000 km
BMW X3,2007,1 995 cm3,Diesel,6 990                    EUR,173 256 km
BMW Seria 5 520,2015,1 995 cm3,Diesel,20 500                    EUR,140 000 km
BMW Seria 7 730,2009,2 998 cm3,Diesel,17 490                    EUR,232 154 km
BMW Seria 5 525,2013,1 995 cm3,Diesel,14 900                    EUR,160 000 km
BMW X3,2008,1 996 cm3,Diesel,7 500                    EUR,192 000 km
BMW Seria 5 520,2007,1 998 cm3,Diesel,5 990                    EUR,210 155 km
BMW Seria 3 320,2016,1 998 cm3,Diesel,14 999                    EUR,183 300 km
BMW Seria 5 520,2014,1 995 cm3,Diesel,25 990                    EUR,117 754 km
BMW Seria 3,2014,1 996 cm3,Diesel,13 923                    EUR,127 000 km
BMW X3,2016,2 000 cm3,Diesel,23 970                    EUR,100 000 km
BMW X3,2013,2 000 cm3,Diesel,13 450                    EUR,172 000 km
BMW X3,2013,2 000 cm3,Diesel,13 350                    EUR,197 600 km
BMW Seria 4 Gran,2015,2 993 cm3,Diesel,20 999                    EUR,175 000 km
BMW Seria 1 118,2013,1 995 cm3,Diesel,11 000                    EUR,177 500 km
BMW Seria 3 3GT,2014,2 000 cm3,Diesel,15 930                    EUR,200 000 km
BMW X5,2015,2 993 cm3,Diesel,26 500                    EUR,170 100 km
BMW Seria 5 520,2015,1 995 cm3,Diesel,18 480                    EUR,137 000 km
BMW X6,2012,2 998 cm3,Diesel,19 500                    EUR,255 000 km
BMW X1,2016,1 998 cm3,Diesel,19 800                    EUR,154 000 km
BMW X3,2017,2 993 cm3,Diesel,39 853                    EUR,24 800 km
BMW X3,2012,2 968 cm3,Diesel,15 990                    EUR,239 517 km
BMW Seria 3 320,2013,1 998 cm3,Diesel,14 999                    EUR,168 000 km
BMW Seria 4 420,2016,1 995 cm3,Diesel,23 900                    EUR,122 000 km
BMW Seria 7,2016,3 000 cm3,Diesel,41 000                    EUR,180 000 km
BMW Seria 5 520,2010,2 000 cm3,Diesel,8 650                    EUR,243 000 km
BMW Seria 4,2016,1 995 cm3,Diesel,22 900                    EUR,198 000 km
BMW Seria 4 420,2018,1 995 cm3,Diesel,47 481                    EUR,7 500 km
BMW X1,2017,1 995 cm3,Diesel,26 995                    EUR,31 000 km
BMW Seria 7 730,2015,3 000 cm3,Diesel,35 500                    EUR,68 500 km
BMW Seria 3 320,2009,1 997 cm3,Diesel,8 950                    EUR,168 000 km
BMW Seria 5,2012,1 995 cm3,Diesel,11 980                    EUR,214 000 km
