CarModel,Year,Engine,Fuel,Price,Milage
BMW Seria 3 320,2012,1 998 cm3,Diesel,10 950                    EUR,216 000 km
BMW Seria 5 535,2008,2 996 cm3,Diesel,10 490                    EUR,217 321 km
BMW X3,2008,2 000 cm3,Diesel,6 990                    EUR,226 000 km
BMW Seria 6,2015,2 993 cm3,Diesel,36 354                    EUR,105 000 km
BMW Seria 6,2015,2 993 cm3,Diesel,38 318                    EUR,99 500 km
BMW X5,2007,2 993 cm3,Diesel,6 650                    EUR,224 000 km
BMW Seria 2,2015,1 496 cm3,Diesel,11 000                    EUR,62 000 km
BMW X1,2013,1 995 cm3,Diesel,12 500                    EUR,129 000 km
BMW Seria 3 320,2007,1 995 cm3,Diesel,4 200                    EUR,220 000 km
BMW Seria 1 120,2008,1 995 cm3,Diesel,5 450                    EUR,157 000 km
BMW Seria 3 320,2016,1 995 cm3,Diesel,33 697                    EUR,20 800 km
BMW Seria 3 3GT,2015,2 000 cm3,Diesel,15 790                    EUR,87 000 km
BMW Seria 6 630,2007,2 996 cm3,Benzina,12 000                    EUR,161 000 km
BMW X5,2009,3 000 cm3,Diesel,13 500                    EUR,201 600 km
BMW X3,2006,1 995 cm3,Diesel,5 450                    EUR,242 000 km
BMW Seria 5 520,2014,1 995 cm3,Diesel,23 400                    EUR,58 200 km
BMW X5,2002,3 000 cm3,Diesel,4 990                    EUR,213 261 km
BMW Seria 3 320,2012,1 998 cm3,Diesel,6 999                    EUR,200 000 km
BMW Seria 3 Gran,2013,1 995 cm3,Diesel,15 000                    EUR,135 859 km
BMW Seria 4,2015,1 995 cm3,Diesel,29 512                    EUR,62 800 km
BMW X5,2005,3 000 cm3,Diesel,5 500                    EUR,288 800 km
BMW X5,2015,3 000 cm3,Diesel,37 500                    EUR,141 000 km
BMW Seria 6 635,2009,2 999 cm3,Diesel,14 950                    EUR,184 103 km
BMW X6,2011,2 993 cm3,Diesel,23 000                    EUR,124 700 km
BMW X1,2013,1 980 cm3,Diesel,16 490                    EUR,91 000 km
BMW X1,2010,1 995 cm3,Diesel,8 300                    EUR,243 081 km
BMW X5,2009,3 000 cm3,Diesel,9 900                    EUR,249 000 km
BMW Seria 5 520,2014,1 995 cm3,Diesel,17 990                    EUR,211 000 km
BMW X5,2018,2 998 cm3,Benzina,86 346                    EUR,1 km
BMW Seria 7 730,2015,3 000 cm3,Diesel,35 500                    EUR,68 500 km
BMW Seria 3 320,2016,1 995 cm3,Diesel,26 180                    EUR,48 200 km
BMW X3,2006,1 995 cm3,Diesel,4 999                    EUR,250 000 km
BMW Seria 5 535,2006,2 993 cm3,Diesel,7 250                    EUR,223 454 km
BMW X5,2014,2 993 cm3,Diesel,29 999                    EUR,164 000 km
BMW X3,2012,1 968 cm3,Diesel,15 999                    EUR,160 000 km
BMW Seria 5 525,2009,2 993 cm3,Diesel,7 500                    EUR,202 000 km
BMW Seria 5 520,2008,1 995 cm3,Diesel,5 990                    EUR,230 000 km
BMW Seria 5 525,2014,1 986 cm3,Diesel,19 999                    EUR,149 000 km
BMW X5,2019,2 993 cm3,Diesel,112 931                    EUR,1 300 km
BMW Seria 5 530,2011,3 000 cm3,Diesel,13 499                    EUR,256 000 km
BMW Seria 6 640,2013,2 993 cm3,Benzina,34 000                    EUR,85 000 km
BMW Seria 3,2014,1 997 cm3,Benzina,17 900                    EUR,53 000 km
BMW X3,2009,1 995 cm3,Diesel,8 290                    EUR,272 000 km
BMW Seria 5 530,2014,2 998 cm3,Diesel,17 800                    EUR,173 000 km
BMW Seria 7 730,2017,2 998 cm3,Diesel,59 999                    EUR,91 000 km
BMW X5,2014,2 993 cm3,Diesel,42 900                    EUR,128 182 km
BMW Seria 3 318,2013,1 995 cm3,Diesel,13 500                    EUR,153 000 km
BMW Seria 7 730,2011,2 993 cm3,Diesel,15 500                    EUR,194 000 km
BMW Seria 5 520,2015,1 995 cm3,Diesel,25 204                    EUR,83 500 km
BMW Seria 5 520,2013,1 995 cm3,Diesel,17 850                    EUR,192 300 km
BMW X1,2011,1 995 cm3,Diesel,11 450                    EUR,239 000 km
BMW Seria 5 520,2010,1 995 cm3,Diesel,8 250                    EUR,220 000 km
BMW Seria 3 320,2011,1 998 cm3,Diesel,8 250                    EUR,253 500 km
BMW Seria 3 320,2014,2 000 cm3,Diesel,12 800                    EUR,149 000 km
BMW Seria 5 525,2012,1 995 cm3,Diesel,15 000                    EUR,99 500 km
BMW X3,2008,1 995 cm3,Diesel,6 190                    EUR,204 000 km
BMW Seria 3 320,2006,2 000 cm3,Diesel,2 950                    EUR,250 000 km
BMW Seria 3 318,2007,1 989 cm3,Diesel,5 499                    EUR,163 000 km
BMW Seria 5 520,2009,1 995 cm3,Diesel,7 100                    EUR,221 000 km
BMW Seria 3 320,2010,2 000 cm3,Diesel,7 700                    EUR,230 000 km
BMW Seria 5 520,2012,1 995 cm3,Diesel,11 990                    EUR,220 000 km
BMW X3,2007,1 995 cm3,Diesel,5 490                    EUR,216 000 km
BMW Seria 3 320,2015,1 995 cm3,Diesel,10 900                    EUR,195 000 km
BMW X6,2012,2 995 cm3,Diesel,22 900                    EUR,190 000 km
BMW Seria 3,2010,1 995 cm3,Diesel,8 500                    EUR,154 000 km
BMW X6,2010,3 000 cm3,Diesel,19 550                    EUR,194 000 km
BMW Seria 5 525,2013,1 995 cm3,Diesel,16 900                    EUR,186 000 km
BMW Seria 3 320,2010,1 995 cm3,Diesel,9 300                    EUR,208 000 km
BMW Seria 3,2014,1 998 cm3,Diesel,12 900                    EUR,164 250 km
BMW X5,2012,2 995 cm3,Diesel,17 500                    EUR,193 500 km
BMW X2,2018,1 995 cm3,Diesel,46 872                    EUR,4 000 km
BMW Seria 4 420,2018,1 995 cm3,Diesel,45 101                    EUR,6 000 km
BMW Seria 5 518,2014,1 995 cm3,Diesel,16 500                    EUR,190 755 km
BMW Seria 5 525,2011,2 993 cm3,Diesel,10 390                    EUR,200 000 km
BMW Seria 3 320,2007,1 995 cm3,Benzina,4 999                    EUR,244 000 km
BMW X1,2010,1 995 cm3,Diesel,10 590                    EUR,150 000 km
BMW Seria 5 520,2009,2 000 cm3,Diesel,6 450                    EUR,228 000 km
BMW X6,2015,2 993 cm3,Diesel,39 950                    EUR,124 000 km
BMW Seria 3 320,2008,1 995 cm3,Benzina,8 900                    EUR,181 050 km
BMW Seria 5,2013,2 997 cm3,Diesel,13 000                    EUR,115 000 km
BMW Seria 5 520,2003,1 998 cm3,Diesel,2 400                    EUR,265 000 km
BMW Seria 1 118,2015,1 998 cm3,Diesel,12 900                    EUR,209 000 km
BMW Seria 4 428,2014,1 997 cm3,Benzina,24 800                    EUR,86 000 km
BMW Seria 3 316,2003,1 796 cm3,Benzina,1 990                    EUR,217 000 km
BMW Seria 3 318,2007,2 000 cm3,Benzina,7 900                    EUR,125 000 km
BMW Seria 4 Gran,2015,1 998 cm3,Diesel,16 250                    EUR,189 000 km
BMW Seria 5 530,2015,2 996 cm3,Diesel,22 500                    EUR,191 000 km
BMW X5,2016,2 993 cm3,Diesel,48 766                    EUR,17 450 km
BMW Seria 5 520,2015,1 995 cm3,Diesel,15 499                    EUR,178 000 km
BMW Seria 5 520,2002,2 171 cm3,Benzina,3 150                    EUR,213 500 km
BMW Seria 5 520,2014,1 987 cm3,Diesel,16 690                    EUR,165 000 km
BMW Seria 5 520,2006,2 000 cm3,Diesel,7 050                    EUR,208 000 km
BMW Seria 5 520,2012,1 987 cm3,Diesel,13 490                    EUR,205 000 km
BMW X5,2005,2 997 cm3,Diesel,5 950                    EUR,190 000 km
BMW Seria 5 520,2016,1 995 cm3,Diesel,19 800                    EUR,176 000 km
BMW Seria 4 420,2014,1 995 cm3,Diesel,17 950                    EUR,181 500 km
BMW Seria 5 520,2011,1 995 cm3,Diesel,11 450                    EUR,220 000 km
BMW Seria 3,2008,1 995 cm3,Benzina,12 500                    EUR,97 000 km
BMW Seria 3,2012,1 998 cm3,Diesel,10 490                    EUR,200 000 km
BMW X1,2016,1 995 cm3,Diesel,21 500                    EUR,26 000 km
BMW Seria 3 320,2015,1 995 cm3,Diesel,13 500                    EUR,189 790 km
BMW Seria 3 320,2015,1 995 cm3,Diesel,11 990                    EUR,160 000 km
BMW Seria 5 520,2012,1 995 cm3,Diesel,13 500                    EUR,230 000 km
BMW Seria 3 320,2012,2 000 cm3,Diesel,17 800                    EUR,360 000 km
BMW Seria 5 525,2001,2 455 cm3,Diesel,3 450                    EUR,280 000 km
BMW Seria 3 320,2010,2 000 cm3,Diesel,7 999                    EUR,188 900 km
BMW X3,2015,1 995 cm3,Diesel,24 300                    EUR,124 800 km
BMW Seria 5 520,2008,2 000 cm3,Diesel,3 450                    EUR,243 000 km
BMW Seria 7 730,2016,2 993 cm3,Diesel,48 000                    EUR,74 000 km
BMW Seria 5,2014,2 995 cm3,Diesel,20 500                    EUR,120 000 km
BMW Seria 1 116,2015,1 995 cm3,Diesel,13 500                    EUR,48 254 km
BMW X5,2019,2 993 cm3,Diesel,79 254                    EUR,5 km
BMW X5,2018,2 993 cm3,Diesel,62 951                    EUR,24 700 km
BMW Seria 3 318,2010,1 997 cm3,Diesel,7 750                    EUR,218 000 km
BMW X1,2012,1 997 cm3,Diesel,11 450                    EUR,213 000 km
BMW X5,2018,2 993 cm3,Diesel,64 890                    EUR,1 km
BMW Seria 3 320,2008,1 995 cm3,Diesel,4 290                    EUR,188 000 km
BMW Seria 3 320,2014,1 996 cm3,Diesel,10 990                    EUR,166 000 km
BMW Seria 3 318,2008,1 995 cm3,Diesel,5 750                    EUR,199 000 km
BMW Seria 5 530,2007,2 993 cm3,Diesel,5 990                    EUR,239 000 km
BMW Seria 3 318,2016,1 995 cm3,Diesel,13 999                    EUR,144 900 km
BMW X5,2010,2 993 cm3,Diesel,17 826                    EUR,169 500 km
BMW X5,2008,2 999 cm3,Diesel,9 500                    EUR,236 000 km
BMW Seria 5 520,2008,1 995 cm3,Diesel,5 644                    EUR,221 000 km
BMW X4,2018,1 995 cm3,Diesel,68 267                    EUR,7 km
BMW X1,2011,1 995 cm3,Diesel,13 990                    EUR,147 000 km
BMW Seria 1,2014,1 995 cm3,Diesel,12 990                    EUR,88 000 km
BMW Seria 5 520,2008,2 000 cm3,Diesel,5 990                    EUR,285 000 km
BMW Seria 3 320,2015,1 998 cm3,Diesel,13 890                    EUR,220 780 km
BMW Seria 5 528,2013,1 997 cm3,Benzina,17 500                    EUR,192 785 km
BMW Seria 5 530,2004,2 998 cm3,Diesel,5 000                    EUR,264 696 km
BMW X6,2010,2 993 cm3,Diesel,19 500                    EUR,85 000 km
BMW Seria 5 520,2015,1 995 cm3,Diesel,21 301                    EUR,59 589 km
BMW X1,2018,1 995 cm3,Diesel,40 191                    EUR,7 km
BMW Seria 3 325,2001,2 494 cm3,Benzina,9 000                    EUR,262 000 km
BMW X6,2011,2 993 cm3,Diesel,17 800                    EUR,220 500 km
BMW Seria 1 118,2015,1 995 cm3,Diesel,16 900                    EUR,86 900 km
BMW Seria 1 118,2005,1 995 cm3,Diesel,3 490                    EUR,249 000 km
BMW X1,2017,1 995 cm3,Diesel,32 725                    EUR,19 400 km
BMW Seria 1 120,2011,1 998 cm3,Diesel,6 390                    EUR,158 000 km
BMW Seria 5 520,2011,1 995 cm3,Diesel,13 000                    EUR,234 994 km
BMW Seria 7 730,2009,2 993 cm3,Diesel,13 500                    EUR,185 000 km
BMW Seria 4 428,2016,1 997 cm3,Benzina,26 900                    EUR,40 400 km
BMW Seria 5 520,2011,2 000 cm3,Diesel,11 650                    EUR,218 000 km
BMW Seria 3 320,2012,1 995 cm3,Diesel,16 990                    EUR,54 374 km
BMW Seria 6 640,2014,2 993 cm3,Diesel,41 626                    EUR,64 000 km
BMW Seria 5 530,2017,2 993 cm3,Diesel,52 264                    EUR,17 200 km
BMW Seria 5 525,2014,1 995 cm3,Diesel,27 727                    EUR,137 701 km
BMW X3,2005,2 000 cm3,Diesel,4 950                    EUR,223 000 km
BMW X3,2008,1 995 cm3,Diesel,7 499                    EUR,173 000 km
BMW Seria 5 535,2015,2 989 cm3,Diesel,32 000                    EUR,76 500 km
BMW Seria 1 118,2010,1 991 cm3,Diesel,7 750                    EUR,164 000 km
BMW X5,2007,2 993 cm3,Diesel,8 700                    EUR,229 000 km
BMW Seria 7 730,2011,2 993 cm3,Diesel,25 947                    EUR,125 416 km
BMW X3,2016,1 995 cm3,Diesel,28 999                    EUR,32 000 km
BMW Seria 7 730,2009,2 993 cm3,Diesel,22 500                    EUR,177 649 km
BMW Seria 3 320,2013,1 995 cm3,Diesel,17 000                    EUR,132 000 km
BMW X3,2010,1 995 cm3,Diesel,9 999                    EUR,197 000 km
BMW Seria 5 520,2013,1 995 cm3,Diesel,13 800                    EUR,216 000 km
BMW Seria 1 118,2007,1 995 cm3,Diesel,4 290                    EUR,239 000 km
BMW Seria 7,2009,2 995 cm3,Diesel,13 000                    EUR,234 000 km
BMW Seria 4 420,2015,2 000 cm3,Diesel,18 999                    EUR,140 000 km
BMW Seria 5 520,2012,1 995 cm3,Diesel,17 898                    EUR,220 909 km
BMW Seria 4 420,2017,1 998 cm3,Diesel,27 500                    EUR,40 000 km
BMW Seria 5 530,2010,2 993 cm3,Diesel,20 988                    EUR,204 744 km
BMW Seria 4 420,2014,1 995 cm3,Diesel,21 408                    EUR,124 917 km
BMW Seria 3 318,2003,1 800 cm3,Benzina,3 400                    EUR,243 000 km
BMW Seria 5 525,2008,3 000 cm3,Diesel,7 550                    EUR,155 000 km
BMW Seria 3 318,2000,1 800 cm3,Benzina,3 200                    EUR,172 849 km
BMW Seria 4 420,2015,1 995 cm3,Diesel,24 890                    EUR,103 348 km
BMW Seria 3,2013,2 000 cm3,Diesel,13 300                    EUR,201 000 km
BMW Seria 4 420,2015,1 995 cm3,Diesel,23 990                    EUR,116 800 km
BMW Seria 5 525,2015,1 995 cm3,Diesel,26 809                    EUR,83 400 km
BMW Seria 5,2012,1 995 cm3,Diesel,15 450                    EUR,190 000 km
BMW Seria 5 525,2015,1 995 cm3,Diesel,26 259                    EUR,87 956 km
BMW Seria 5 525,2016,1 995 cm3,Diesel,23 986                    EUR,112 500 km
BMW Seria 3,2013,1 998 cm3,Diesel,13 300                    EUR,178 000 km
BMW X6,2011,2 993 cm3,Diesel,20 500                    EUR,227 000 km
BMW Seria 5 525,2015,1 995 cm3,Diesel,23 498                    EUR,117 000 km
BMW Seria 5 530,2017,2 993 cm3,Diesel,39 999                    EUR,99 100 km
BMW X5,2009,2 993 cm3,Diesel,10 990                    EUR,268 600 km
BMW Seria 5 530,2017,2 993 cm3,Diesel,39 989                    EUR,29 500 km
BMW Seria 3 320,2005,1 995 cm3,Diesel,4 080                    EUR,247 500 km
BMW Seria 5 520,2017,1 995 cm3,Diesel,33 129                    EUR,54 628 km
BMW Seria 5 520,2017,1 995 cm3,Diesel,32 979                    EUR,39 997 km
BMW Seria 5 520,2017,1 995 cm3,Diesel,29 890                    EUR,50 658 km
BMW Seria 3 320,2012,1 998 cm3,Diesel,11 900                    EUR,215 000 km
BMW Seria 6 640,2015,3 000 cm3,Benzina,43 000                    EUR,130 000 km
BMW Seria 3 318,2011,1 995 cm3,Diesel,6 290                    EUR,218 785 km
BMW Seria 7 730,2015,2 993 cm3,Diesel,42 969                    EUR,101 200 km
BMW Seria 7 730,2015,2 993 cm3,Diesel,41 979                    EUR,100 000 km
BMW X5,2010,2 993 cm3,Diesel,15 980                    EUR,204 000 km
BMW X1,2017,1 995 cm3,Diesel,40 341                    EUR,6 000 km
BMW Seria 7 740,2018,2 993 cm3,Diesel,97 937                    EUR,4 000 km
BMW X5,2009,2 993 cm3,Diesel,10 700                    EUR,208 000 km
BMW Seria 7 740,2018,2 993 cm3,Diesel,95 815                    EUR,4 000 km
BMW X3,2013,1 995 cm3,Benzina,14 300                    EUR,145 000 km
BMW Seria 5 520,2018,1 995 cm3,Diesel,55 811                    EUR,6 000 km
BMW X3,2018,1 995 cm3,Diesel,57 074                    EUR,4 000 km
BMW X5,2015,2 993 cm3,Diesel,39 865                    EUR,99 300 km
BMW X5,2018,2 993 cm3,Diesel,70 780                    EUR,4 000 km
BMW X2,2018,1 995 cm3,Diesel,44 028                    EUR,14 578 km
BMW X5,2008,3 000 cm3,Diesel,11 000                    EUR,180 000 km
BMW Seria 1 120,2012,1 995 cm3,Diesel,8 900                    EUR,234 000 km
BMW X5,2015,2 993 cm3,Diesel,41 055                    EUR,51 800 km
BMW X4,2015,1 995 cm3,Diesel,24 590                    EUR,102 490 km
BMW Seria 3 318,2011,1 998 cm3,Diesel,10 999                    EUR,157 300 km
BMW Seria 5 520,2009,1 995 cm3,Diesel,8 700                    EUR,142 000 km
BMW X5,2008,2 998 cm3,Diesel,11 500                    EUR,184 300 km
BMW X6,2009,3 000 cm3,Diesel,17 000                    EUR,190 000 km
BMW X3,2018,1 995 cm3,Diesel,36 290                    EUR,20 030 km
BMW Seria 5 520,2010,2 000 cm3,Diesel,12 500                    EUR,240 000 km
BMW Seria 5 5GT,2015,1 983 cm3,Diesel,17 300                    EUR,143 000 km
BMW Seria 2,2018,1 995 cm3,Diesel,33 201                    EUR,6 000 km
BMW Seria 7 730,2011,2 993 cm3,Diesel,21 599                    EUR,144 514 km
BMW Seria 3 320,2005,1 995 cm3,Diesel,5 490                    EUR,248 673 km
BMW X6,2016,2 993 cm3,Diesel,58 964                    EUR,26 218 km
BMW Seria 3,2006,1 995 cm3,Diesel,5 650                    EUR,175 000 km
BMW Seria 5,2015,2 000 cm3,Diesel,24 900                    EUR,180 000 km
BMW X5,2014,1 995 cm3,Diesel,25 990                    EUR,165 000 km
BMW X1,2014,1 995 cm3,Diesel,17 000                    EUR,101 000 km
BMW X3,2012,1 989 cm3,Diesel,12 299                    EUR,220 000 km
BMW Seria 4 430,2019,1 998 cm3,Benzina,61 904                    EUR,4 001 km
BMW Seria 3 320,2010,1 995 cm3,Diesel,4 946                    EUR,236 000 km
BMW X4,2016,1 995 cm3,Diesel,35 900                    EUR,8 500 km
BMW Seria 3,2015,1 997 cm3,Benzina,24 900                    EUR,89 900 km
BMW Seria 3 320,2008,1 989 cm3,Diesel,5 950                    EUR,189 700 km
BMW X3,2014,1 995 cm3,Diesel,19 990                    EUR,190 000 km
BMW Seria 1 118,2016,1 995 cm3,Diesel,15 900                    EUR,101 800 km
BMW X6,2011,2 990 cm3,Diesel,19 900                    EUR,156 000 km
BMW X5,2012,2 996 cm3,Diesel,16 900                    EUR,240 000 km
BMW Seria 3 320,2013,1 998 cm3,Diesel,10 200                    EUR,225 000 km
BMW Seria 5,2007,2 998 cm3,Diesel,4 800                    EUR,1 km
BMW Seria 3 3GT,2014,2 000 cm3,Diesel,14 700                    EUR,182 323 km
BMW X6,2009,2 993 cm3,Diesel,17 500                    EUR,167 000 km
BMW Seria 5 520,2010,1 995 cm3,Diesel,12 500                    EUR,195 300 km
BMW Seria 1 118,2009,1 995 cm3,Diesel,5 250                    EUR,236 000 km
BMW Seria 3 320,2016,1 995 cm3,Diesel,14 250                    EUR,174 000 km
BMW Seria 3 320,2013,1 995 cm3,Benzina,18 700                    EUR,32 000 km
BMW X6,2015,2 993 cm3,Diesel,43 880                    EUR,81 852 km
BMW X6,2015,2 993 cm3,Diesel,41 979                    EUR,98 910 km
BMW X6,2014,2 993 cm3,Diesel,40 989                    EUR,96 561 km
BMW X6,2015,2 993 cm3,Diesel,40 950                    EUR,97 517 km
BMW X6,2015,2 993 cm3,Diesel,38 940                    EUR,110 532 km
BMW X5,2019,2 993 cm3,Diesel,75 549                    EUR,8 km
BMW X5,2015,2 993 cm3,Diesel,38 990                    EUR,106 574 km
BMW X5,2014,2 993 cm3,Diesel,38 450                    EUR,124 992 km
BMW X5,2014,2 993 cm3,Diesel,35 490                    EUR,117 110 km
BMW X5,2014,2 993 cm3,Diesel,34 783                    EUR,107 088 km
BMW X5,2014,2 993 cm3,Diesel,32 500                    EUR,121 000 km
BMW X5,2015,2 993 cm3,Diesel,33 222                    EUR,122 700 km
BMW Seria 5 530,2014,2 993 cm3,Diesel,18 385                    EUR,106 912 km
BMW X5,2013,2 993 cm3,Diesel,31 654                    EUR,73 094 km
BMW X4,2019,1 995 cm3,Diesel,51 868                    EUR,1 km
BMW Seria 3 320,2016,1 995 cm3,Diesel,13 400                    EUR,182 000 km
BMW X4,2019,1 998 cm3,Diesel,45 490                    EUR,1 km
BMW X4,2015,1 995 cm3,Diesel,28 439                    EUR,123 934 km
BMW X4,2015,1 995 cm3,Diesel,26 000                    EUR,118 243 km
BMW X3,2018,1 995 cm3,Diesel,42 290                    EUR,19 200 km
BMW X3,2018,1 995 cm3,Diesel,39 390                    EUR,4 415 km
BMW X5,2011,2 995 cm3,Diesel,14 500                    EUR,201 000 km
BMW X1,2017,1 500 cm3,Diesel,19 990                    EUR,52 000 km
BMW X3,2011,1 995 cm3,Diesel,15 300                    EUR,280 000 km
BMW X3,2014,1 995 cm3,Diesel,23 498                    EUR,86 000 km
BMW X3,2014,1 995 cm3,Diesel,21 498                    EUR,105 400 km
BMW X3,2012,1 995 cm3,Diesel,18 490                    EUR,74 500 km
BMW Seria 5,2018,1 998 cm3,Benzina,36 990                    EUR,41 789 km
BMW Seria 5 530GT,2015,3 000 cm3,Diesel,36 500                    EUR,98 600 km
BMW X1,2015,1 995 cm3,Diesel,22 789                    EUR,118 818 km
BMW X5,2014,2 995 cm3,Diesel,28 500                    EUR,176 000 km
BMW X1,2015,1 995 cm3,Diesel,22 499                    EUR,123 500 km
BMW Seria 5,2006,1 995 cm3,Diesel,7 600                    EUR,207 000 km
BMW X1,2015,1 995 cm3,Diesel,21 980                    EUR,115 600 km
BMW Seria 5 520,2009,2 000 cm3,Diesel,8 200                    EUR,271 000 km
BMW X1,2014,1 995 cm3,Diesel,16 880                    EUR,108 801 km
BMW X1,2014,1 995 cm3,Diesel,16 689                    EUR,99 780 km
BMW Seria 3 320,2013,2 000 cm3,Diesel,11 300                    EUR,260 000 km
BMW X3,2015,1 996 cm3,Diesel,14 899                    EUR,153 000 km
BMW Seria 3,2007,1 995 cm3,Diesel,8 650                    EUR,201 680 km
BMW Seria 3 320,2007,1 995 cm3,Diesel,5 850                    EUR,207 554 km
BMW Seria 3 328,2014,1 997 cm3,Benzina,16 000                    EUR,35 350 km
BMW Seria 5 520,2008,2 000 cm3,Diesel,8 150                    EUR,226 000 km
BMW Seria 5 520,2006,2 000 cm3,Diesel,4 450                    EUR,293 000 km
BMW Seria 1 120,2008,2 000 cm3,Benzina,7 200                    EUR,109 000 km
BMW Seria 3 Sedan,2016,3 000 cm3,Benzina,41 000                    EUR,48 000 km
BMW Seria 7,2006,2 968 cm3,Diesel,8 799                    EUR,195 000 km
BMW X5,2016,2 993 cm3,Diesel,57 118                    EUR,87 000 km
BMW X3,2005,1 995 cm3,Diesel,5 499                    EUR,187 000 km
BMW X3,2013,2 000 cm3,Diesel,14 400                    EUR,138 000 km
BMW Seria 5 520,2014,2 000 cm3,Diesel,16 800                    EUR,190 000 km
BMW Seria 3 320,2012,1 995 cm3,Diesel,15 800                    EUR,102 000 km
BMW Seria 5 523,2007,2 497 cm3,Benzina,6 600                    EUR,246 000 km
BMW X1,2015,1 995 cm3,Diesel,19 635                    EUR,70 750 km
BMW X5,2018,2 993 cm3,Diesel,55 335                    EUR,26 150 km
BMW X3,2007,1 995 cm3,Diesel,6 990                    EUR,217 000 km
BMW X5,2018,2 993 cm3,Diesel,63 784                    EUR,20 100 km
BMW X1,2011,1 995 cm3,Diesel,12 990                    EUR,135 000 km
BMW Seria 3 320,2014,1 995 cm3,Diesel,13 999                    EUR,190 000 km
BMW Seria 7,2015,4 395 cm3,Benzina,42 816                    EUR,68 000 km
BMW X3,2008,1 995 cm3,Diesel,6 400                    EUR,95 000 km
BMW Seria 5 525,2012,1 995 cm3,Diesel,17 790                    EUR,126 000 km
BMW Seria 3 320,2015,1 995 cm3,Diesel,25 573                    EUR,124 900 km
BMW X6,2011,2 998 cm3,Diesel,17 950                    EUR,228 000 km
BMW Seria 3 320,2013,1 998 cm3,Diesel,14 500                    EUR,210 000 km
BMW Seria 3 320,2007,1 965 cm3,Diesel,5 700                    EUR,269 000 km
BMW Seria 5 520,2011,1 998 cm3,Diesel,10 990                    EUR,210 000 km
BMW Seria 3 318,2008,1 996 cm3,Diesel,5 995                    EUR,276 094 km
BMW X5,2014,2 000 cm3,Diesel,26 900                    EUR,188 000 km
BMW X6,2012,2 993 cm3,Diesel,22 000                    EUR,150 500 km
BMW Seria 7 740,2013,2 993 cm3,Diesel,17 490                    EUR,227 000 km
BMW Seria 3 320,2004,1 995 cm3,Diesel,2 800                    EUR,182 728 km
BMW Seria 6 630,2006,2 996 cm3,Benzina,9 500                    EUR,205 000 km
BMW Seria 5 530,2014,2 996 cm3,Diesel,19 490                    EUR,197 000 km
BMW Seria 5 520,2016,1 995 cm3,Diesel,17 798                    EUR,177 000 km
BMW Seria 7 730,2015,2 993 cm3,Diesel,27 500                    EUR,155 000 km
BMW Seria 3 318,2015,1 896 cm3,Diesel,13 500                    EUR,168 000 km
BMW X6,2016,2 993 cm3,Diesel,58 310                    EUR,22 300 km
BMW X4,2014,2 993 cm3,Diesel,31 500                    EUR,199 581 km
BMW Seria 7 750,2014,2 993 cm3,Diesel,32 900                    EUR,180 000 km
BMW X5,2014,2 993 cm3,Diesel,22 500                    EUR,170 000 km
BMW X6,2015,3 000 cm3,Diesel,42 000                    EUR,92 000 km
BMW Seria 6 640,2013,2 993 cm3,Diesel,28 000                    EUR,148 000 km
BMW Seria 5 525,2014,1 996 cm3,Diesel,22 253                    EUR,179 805 km
BMW X5,2011,2 900 cm3,Diesel,17 999                    EUR,215 000 km
BMW X3,2011,1 995 cm3,Diesel,13 900                    EUR,124 000 km
BMW Seria 5 525,2013,1 995 cm3,Diesel,20 000                    EUR,182 000 km
BMW Seria 3 318,2015,1 995 cm3,Diesel,10 900                    EUR,209 000 km
BMW Seria 7 730,2018,2 993 cm3,Diesel,57 953                    EUR,11 900 km
BMW Seria 4 430,2015,2 998 cm3,Diesel,25 300                    EUR,136 000 km
BMW Seria 3 320,2002,1 995 cm3,Diesel,2 500                    EUR,250 000 km
BMW X3,2016,1 997 cm3,Benzina,28 700                    EUR,6 923 km
BMW Seria 5 520,2012,1 995 cm3,Diesel,12 850                    EUR,193 000 km
BMW Seria 7 740,2018,2 993 cm3,Diesel,63 070                    EUR,26 000 km
BMW Seria 5 530,2014,2 968 cm3,Diesel,22 850                    EUR,122 100 km
BMW Seria 5,2009,1 995 cm3,Diesel,6 599                    EUR,312 343 km
BMW Seria 5 520,2015,1 995 cm3,Diesel,14 990                    EUR,177 344 km
BMW Seria 3,2005,1 989 cm3,Diesel,2 650                    EUR,238 000 km
BMW Seria 3 325,2007,2 499 cm3,Benzina,9 000                    EUR,178 000 km
BMW Seria 5 520,2014,1 997 cm3,Benzina,17 990                    EUR,191 186 km
BMW X1,2018,1 995 cm3,Diesel,40 323                    EUR,5 600 km
BMW Seria 5 525,2003,2 496 cm3,Diesel,1 850                    EUR,260 000 km
BMW Seria 3,2000,1 895 cm3,Benzina,1 700                    EUR,245 000 km
BMW Seria 5 520,2011,1 995 cm3,Diesel,11 950                    EUR,174 560 km
BMW X5,2014,3 000 cm3,Diesel,40 000                    EUR,112 500 km
BMW Seria 3 330,2008,2 968 cm3,Diesel,6 700                    EUR,177 000 km
BMW Seria 5,2015,1 995 cm3,Diesel,26 751                    EUR,119 093 km
BMW Seria 5 520,2006,1 995 cm3,Diesel,6 490                    EUR,248 000 km
BMW X6,2015,4 395 cm3,Benzina,85 680                    EUR,47 500 km
BMW Seria 7 730,2015,2 993 cm3,Diesel,54 000                    EUR,63 502 km
