Model,Year,HorsePower,Fuel,Mileage,Transmission,Price
BMW 320 i Topzustand SchnÃ¤ppchen,2005,110 kW (150 CP),Benzina, 108.000 km,manuala,4.960 EUR (brut)
"BMW 320i Navi,Klimaautomatik Xenon.",2005,110 kW (150 CP),Benzina, 180.132 km,manuala,2.999 EUR (brut)
BMW 318i Schiebedach/Klimaautomatik/PDC/Sitzheizung,2009,105 kW (143 CP),Benzina, 119.000 km,manuala,7.890 EUR (brut)
BMW 330d GT M Sportpaket|Navi|Xenon|PDC|Sitzheizung,2015,190 kW (258 CP),Diesel, 67.041 km,automata,27.770 EUR (brut) 23.336 EUR (net)
"BMW 330i Limousine M Sport 19"" DAB Harman Kardon Ala",2019,190 kW (258 CP),Benzina,0 km,automata,58.395 EUR (brut) 49.071 EUR (net)
BMW 335i Aut.,2009,225 kW (306 CP),Benzina, 81.000 km,automata,16.500 EUR (brut)
BMW 3er 320 e90 Facelift 2010 Baujahr,2010,121 kW (165 CP),Diesel, 190.000 km,manuala,9.000 EUR (brut)
BMW 318 i LED Navi Standheizung GHSD SHZ,2017,100 kW (136 CP),Benzina, 10.530 km,manuala,24.380 EUR (brut) 20.487 EUR (net)
"BMW 320i, TÃœV 07/20, Navi, SHZ, Multifunkt...",2008,125 kW (170 CP),Benzina, 140.000 km,manuala,8.390 EUR (brut)
BMW 320d 2008 Xenon/Sitzheizung/Alcantara ...,2008,130 kW (177 CP),Diesel, 196.800 km,manuala,8.200 EUR (brut)
BMW 320i,2012,135 kW (184 CP),Benzina, 105.795 km,manuala,14.600 EUR (brut)
BMW 330i xDrive Touring Stept.  Advantage R-Kamera,2016,185 kW (252 CP),Benzina, 4.200 km,automata,15.980 EUR (brut)
BMW 335 d xDrive GT Steptr. M Sport 360° Kam Panoram,2016,230 kW (313 CP),Diesel, 13.400 km,automata,24.000 EUR (brut)
BMW 318d M-Sportpaket steptronik Leder Navi,2014,105 kW (143 CP),Diesel, 82.600 km,automata,12.980 EUR (brut)
BMW 340i Gran Turismo M Sportpaket Head-Up HiFi LED,2019,240 kW (326 CP),Benzina,0 km,automata,53.750 EUR (brut) 45.168 EUR (net)
BMW 320i Advantage Automatik Aut. Klimaaut. AHK PDC,2019,135 kW (184 CP),Benzina,0 km,automata,46.680 EUR (brut) 39.227 EUR (net)
BMW 330i M Sport Automatic Sport Aut. Klimaaut. PDC,2019,190 kW (258 CP),Benzina,0 km,automata,60.920 EUR (brut) 51.193 EUR (net)
BMW 320d Efficient Dynamic Edition,2013,120 kW (163 CP),Diesel, 242.650 km,manuala,7.390 EUR (brut)
"BMW 318d 2.0 F30 Limo ""SPORT LINE""/NAVI""PROF""/HIFI",2015,105 kW (143 CP),Diesel, 63.200 km,manuala,15.400 EUR (brut) 12.941 EUR (net)
BMW 320d Aut.M-Paket Performance,2017,140 kW (190 CP),Diesel, 28.211 km,automata,9.190 EUR (brut)
BMW 320d xDrive M Sport F30 Limousine,2015,140 kW (190 CP),Diesel, 63.500 km,automata,27.990 EUR (brut)
"BMW 325i,Klimaautomatik,Sitzheiz.CD,NUR 58TKM",2006,160 kW (218 CP),Benzina, 57.993 km,manuala,10.950 EUR (brut)
BMW 330i xDrive Limosuine Sport Line Head-Up Glsd.,2016,185 kW (252 CP),Benzina, 46.714 km,automata,31.804 EUR (brut) 26.726 EUR (net)
"BMW 320d Lim.""EfficientD Edition"" NAVI XEN S-DACH",2011,120 kW (163 CP),Diesel, 100.980 km,manuala,11.500 EUR (brut)
BMW 320i / LEDER-BEIGE/ AUTOMATIK/ KLIMAAUT./,2006,110 kW (150 CP),Benzina, 75.000 km,automata,9.888 EUR (brut)
BMW 325i Aut. Xenon,2005,160 kW (218 CP),Benzina, 205.000 km,automata,2.750 EUR (brut)
BMW 318i Lim. Xenon+Klimaautomatik,2008,105 kW (143 CP),Benzina, 84.261 km,manuala,7.990 EUR (brut)
BMW 330i *M-PAKET*SCHIEBEDACH*NAVI*XENON*LEDER,2009,200 kW (272 CP),Benzina, 84.000 km,automata,19.700 EUR (brut)
BMW 328i Autom. Head-Up Keyless NAVI Xenon Teilleder,2012,180 kW (245 CP),Benzina, 71.400 km,automata,19.990 EUR (brut)
"BMW 325d GT Sport Line Head Up Navi Prof 18"" EURO6",2016,160 kW (218 CP),Diesel, 176.000 km,manuala,18.800 EUR (brut) 15.798 EUR (net)
BMW 320 i NAVI XENON LEDER GLASDACH PDC v+h,2009,125 kW (170 CP),Benzina, 84.870 km,automata,12.360 EUR (brut)
BMW 320d Efficient Dynamics Edition,2015,120 kW (163 CP),Diesel, 147.000 km,manuala,13.499 EUR (brut)
BMW 318d Automatik/NaviProf./Klima/Tempo/PDC,2012,105 kW (143 CP),Diesel, 240.000 km,manuala,10.850 EUR (brut) 9.118 EUR (net)
BMW 320d Limousine Sport Line EU6 Head-Up LED Shz,2016,140 kW (190 CP),Diesel, 50.300 km,manuala,24.890 EUR (brut) 20.916 EUR (net)
BMW 318i Advantage NAVI AHK PDC SHZ KAMERA AT,2015,100 kW (136 CP),Benzina, 45.676 km,automata,19.950 EUR (brut)
BMW 340i Aut. M Sport Performance,2016,240 kW (326 CP),Benzina, 30.170 km,automata,35.000 EUR (brut)
BMW 320i Limousine Sport Line LED Navi Bus. AHK USB,2016,135 kW (184 CP),Benzina, 18.362 km,automata,26.890 EUR (brut) 22.597 EUR (net)
BMW 325i Edition M-Sport Paket Scheckheftgepflegt,2011,160 kW (218 CP),Benzina, 92.850 km,manuala,11.999 EUR (brut)
"BMW 320d Lim Sport,LED Scheinwerfer,LM RÃ¤der,SH,Driv",2016,140 kW (190 CP),Diesel, 37.886 km,manuala,26.168 EUR (brut) 21.990 EUR (net)
BMW 330 d xDrive M Sport Shadow Line LED HeadUp Navi,2016,190 kW (258 CP),Diesel, 43.360 km,automata,31.880 EUR (brut)
BMW 330 d xDrive M Sport Shadow Line LED HeadUp Navi,2016,190 kW (258 CP),Diesel, 43.360 km,automata,31.880 EUR (brut)
BMW 328i *SPORT LINE*XENON*NAVI*AUFFAHRWARNER,2012,180 kW (245 CP),Benzina, 103.000 km,manuala,20.450 EUR (brut)
BMW 318i Lim.! 1.HAND ! KLIMA,2008,105 kW (143 CP),Benzina, 51.334 km,manuala,9.299 EUR (brut)
BMW 320d xDrive Gran Turismo M Sportpaket Head-Up,2018,140 kW (190 CP),Diesel, 21.819 km,automata,39.890 EUR (brut) 33.521 EUR (net)
BMW 320d xDrive Gran Turismo M Sportpaket HiFi LED,2019,140 kW (190 CP),Diesel, 50 km,automata,62.984 EUR (brut) 52.928 EUR (net)
BMW 340i 2015,2015,240 kW (326 CP),Benzina, 39.000 km,automata,31.000 EUR (brut)
BMW 320d Gran Turismo Sport Line Xenon Navi Prof.,2016,140 kW (190 CP),Diesel, 120.750 km,automata,23.430 EUR (brut) 19.689 EUR (net)
