Model,Year,HorsePower,Fuel,Mileage,Transmission,Price
BMW 520i Leasing ab 639 EUR o.SZ Navi SportLine HiFi,2019,135 kW (184 CP),Benzina,0 km,automata,50.990 EUR (brut) 42.849 EUR (net)
BMW 530i,2007,200 kW (272 CP),Benzina, 245.000 km,manuala,6.900 EUR (brut)
BMW 520d,2014,140 kW (190 CP),Diesel, 82.538 km,automata,22.490 EUR (brut) 18.899 EUR (net)
BMW 520d xDrive Limousine M Sport sehr schÃ¶ne,2018,140 kW (190 CP),Diesel, 16.800 km,automata,44.873 EUR (brut) 37.708 EUR (net)
BMW 530d Limousine Sport Line Komfsi SAG GSD AdapLED,2018,195 kW (265 CP),Diesel, 24.500 km,automata,46.836 EUR (brut) 39.358 EUR (net)
BMW 523i Aut. MIT LUXUAUSSTATUNG,2006,130 kW (177 CP),Benzina, 86.000 km,automata,7.995 EUR (brut)
BMW 530d Aut.,2013,190 kW (258 CP),Diesel, 127.100 km,automata,23.399 EUR (brut)
BMW 530d xDrive Limousine +Vollleder+Head Up+Navi Pr,2008,173 kW (235 CP),Diesel, 154.307 km,automata,9.940 EUR (brut)
BMW 525dA Navi Leder Bi-Xenon Sitzheizung Bluetooth,2007,145 kW (197 CP),Diesel, 135.000 km,automata,8.493 EUR (brut)
BMW 520d Lim. Aut. LEDER STANDHEIZUNG SCHIEBEDACH...,2015,140 kW (190 CP),Diesel, 63.000 km,automata,24.500 EUR (brut) 20.588 EUR (net)
BMW 525d Aut.,2006,130 kW (177 CP),Diesel, 305.000 km,automata,4.200 EUR (brut)
BMW 520d Aut.,2018,140 kW (190 CP),Diesel, 18.200 km,automata,47.790 EUR (brut) 39.825 EUR (net)
BMW 535 535d Luxury Edition,2014,230 kW (313 CP),Diesel, 122.281 km,automata,30.045 EUR (brut)
BMW 520d Navi Bi-Xenon AHK,2012,135 kW (184 CP),Diesel, 159.800 km,manuala,12.950 EUR (brut)
BMW 520d Modern Line INDIVIDU LEDER BEIGE+HUD+KAMERA,2014,135 kW (184 CP),Diesel, 131.987 km,automata,21.850 EUR (brut) 18.361 EUR (net)
BMW 530d*XENON*NAVI*PDC*LEDER*EURO6*M-LENKRAD,2014,190 kW (258 CP),Diesel, 196.000 km,automata,19.899 EUR (brut) 16.722 EUR (net)
BMW 520d 1 Hand. Top Zustand.,2014,140 kW (190 CP),Diesel, 134.100 km,automata,17.800 EUR (brut) 14.958 EUR (net)
BMW 520d Limousine -*M-PAKET*Alcantara*M5 Bereifung*,2012,135 kW (184 CP),Diesel, 145.000 km,manuala,14.990 EUR (brut)
"BMW 520d Standh.Lenkradh.DrivAss+ACC HUD Soft-Cl.18""",2018,140 kW (190 CP),Diesel, 25.180 km,automata,41.900 EUR (brut) 35.210 EUR (net)
BMW 520 dA Navi PDC StandHZG Komfortsitze Soundsyste,2017,140 kW (190 CP),Diesel, 61.901 km,automata,35.390 EUR (brut) 29.740 EUR (net)
BMW 525D M Paket Sport Edition,2008,145 kW (197 CP),Diesel, 295.000 km,automata,7.250 EUR (brut)
BMW 525d xDrive Aut. *NAVI~SPORTSITZE~XENON~PDC~SHZ*,2011,160 kW (218 CP),Diesel, 200.000 km,automata,13.950 EUR (brut)
BMW 523i Aut. Xenon Leder Glasdach PDC Navi USB,2009,140 kW (190 CP),Benzina, 190.220 km,automata,10.790 EUR (brut)
BMW 530d Aut.Voll Standheizung Head Up Nav...,2010,180 kW (245 CP),Diesel, 192.000 km,automata,14.350 EUR (brut)
BMW 520d Limousine M Sportpaket,2018,140 kW (190 CP),Diesel, 28.821 km,automata,56.895 EUR (brut) 47.811 EUR (net)
BMW 530d Aut.Voll Standheizung Head Up Lordon,2010,180 kW (245 CP),Diesel, 192.000 km,automata,14.250 EUR (brut)
BMW 535 D sport M packet,2011,220 kW (299 CP),Diesel, 214.000 km,automata,14.999 EUR (brut)
BMW 520d xDrive Limousine M Sportpaket EURO 6d-TEMP-,2018,140 kW (190 CP),Diesel, 24.714 km,automata,55.695 EUR (brut) 46.803 EUR (net)
BMW 525i M-Paket Aut.*Fahrbereit*Xenon*Vollleder,2006,160 kW (218 CP),Benzina, 204.000 km,automata,4.990 EUR (brut)
"BMW 520 d Luxury Line,Navi, Leder,Netto 22.908 ‚¬",2017,140 kW (190 CP),Diesel, 49.766 km,automata,27.490 EUR (brut) 22.908 EUR (net)
BMW 530d M Sportpaket Innovationsp. Navi Prof. RFT,2019,195 kW (265 CP),Diesel,0 km,automata,80.539 EUR (brut) 67.680 EUR (net)
BMW 540i Limousine M Sportpaket EURO 6d-TEMP-EVAP,2018,250 kW (340 CP),Benzina, 24.778 km,automata,59.695 EUR (brut) 50.164 EUR (net)
BMW 540i xDrive Limousine M Sportpaket,2018,250 kW (340 CP),Benzina, 7.396 km,automata,62.890 EUR (brut) 52.849 EUR (net)
BMW 530d F10 M5 M Paket 19 Zoll TÃœV Standh...,2010,180 kW (245 CP),Diesel, 215.000 km,automata,16.666 EUR (brut)
BMW 525d Aut.,2007,130 kW (177 CP),Diesel, 159.000 km,automata,11.700 EUR (brut)
BMW 530i Limousine M Sportpaket,2018,185 kW (252 CP),Benzina, 13.553 km,automata,55.890 EUR (brut) 46.966 EUR (net)
BMW 525d Sport-Automatik *M-TECHNIC*NAVI-PROF*XENON*,2010,150 kW (204 CP),Diesel, 290.000 km,automata,8.950 EUR (brut)
