Model,Year,HorsePower,Fuel,Mileage,Transmission,Price
BMW 520d Limousine EURO 6d-TEMP-EVAP,2018,140 kW (190 CP),Diesel, 12.556 km,automata,45.690 EUR (brut) 38.395 EUR (net)
BMW 530D FACELIFT,2007,173 kW (235 CP),Diesel, 168.000 km,automata,9.500 EUR (brut)
BMW 523i -Navi Prof.-Xenon-AHK schwenkbar,2010,150 kW (204 CP),Benzina, 87.500 km,manuala,16.999 EUR (brut)
BMW 535d M-Packet - tausch mÃ¶glich!,2010,220 kW (299 CP),Diesel, 104.000 km,automata,21.500 EUR (brut)
BMW 530d Aut. Sport Line *NAVI PRO - HEAD UP - HiFi*,2017,195 kW (265 CP),Diesel, 92.900 km,automata,25.800 EUR (brut) 21.681 EUR (net)
BMW 540 Sport-Line,2018,250 kW (340 CP),Benzina, 20.911 km,automata,44.900 EUR (brut)
BMW 530d Automatik M-paket,2007,169 kW (230 CP),Diesel, 231.500 km,automata,10.800 EUR (brut)
BMW 520i Navi Leder Tempom.aktiv Glasdach Bluetooth,2018,135 kW (184 CP),Benzina, 32.000 km,automata,46.900 EUR (brut) 39.412 EUR (net)
BMW 530d NAVI HUD HGSD XENON LEDER AT,2011,180 kW (245 CP),Diesel, 58.553 km,automata,20.950 EUR (brut)
BMW 525d Limo. *Navigation*PDC*Sitzheizung*Facelift!,2008,145 kW (197 CP),Diesel, 214.900 km,manuala,6.350 EUR (brut)
BMW 525i xDrive *Navi-Prof*Spurhalteassistent*Leder!,2008,160 kW (218 CP),Benzina, 133.000 km,manuala,9.990 EUR (brut)
BMW 530d xDrive Lim.*EURO 6*M-Ausstattung*AHK*Leder!,2016,190 kW (258 CP),Diesel, 157.000 km,automata,25.990 EUR (brut) 21.840 EUR (net)
BMW 535d Lim. *Head-Up Display*Navi-Prof*Leder-Beige,2011,220 kW (299 CP),Diesel, 190.000 km,automata,16.990 EUR (brut)
BMW 535i Lim. Sport-Aut.*360°Kamera*Sitzklima*El.SSD,2010,225 kW (306 CP),Benzina, 84.000 km,automata,21.990 EUR (brut) 18.479 EUR (net)
BMW 520d Aut. Vollausstattung/ Hochdruckpu...,2010,120 kW (163 CP),Diesel, 171.620 km,automata,9.000 EUR (brut)
BMW 530d Limousine M Sportpaket Head-Up LED WLAN,2019,195 kW (265 CP),Diesel, 3 km,automata,76.130 EUR (brut) 63.975 EUR (net)
BMW 540i xDrive Limousine Sport Line Head-Up HiFi,2019,250 kW (340 CP),Benzina, 3 km,automata,76.670 EUR (brut) 64.429 EUR (net)
BMW 523i Aut.,2007,140 kW (190 CP),Benzina, 153.000 km,automata,8.700 EUR (brut)
"BMW 525d A Lim Sportsitze,Navi,Xenon,AHK,Glasdach",2014,160 kW (218 CP),Diesel, 130.813 km,automata,21.490 EUR (brut)
BMW 550i Limo VOLL SITZKLIMA SOFT NIGHT + ASSISTPACK,2010,300 kW (408 CP),Benzina, 209.000 km,automata,18.450 EUR (brut) 15.504 EUR (net)
BMW 520d xDrive Lim. Aut. Navi HeadUp ACC AHK,2017,140 kW (190 CP),Diesel, 175.280 km,automata,32.934 EUR (brut) 27.676 EUR (net)
BMW 520d Limousine Navi Prof. Shz PDC,2018,140 kW (190 CP),Diesel, 10.330 km,automata,34.299 EUR (brut) 28.823 EUR (net)
"BMW 530d xDrive M Sportpaket LED Leder Navi HUD 19""",2016,190 kW (258 CP),Diesel, 69.900 km,automata,32.980 EUR (brut)
BMW 535d xDrive Limousine HiFi Xenon RFK Navi Prof.,2016,230 kW (313 CP),Diesel, 95.000 km,automata,29.690 EUR (brut) 24.950 EUR (net)
BMW 520d xDrive Limousine Luxury Line Euro 6 Navi Pr,2016,140 kW (190 CP),Diesel, 121.900 km,automata,23.990 EUR (brut) 20.160 EUR (net)
BMW 530d Sport-Aut.,2011,180 kW (245 CP),Diesel, 149.900 km,automata,12.999 EUR (brut)
BMW 530d xDrive Lim. STEPTR M-PAKET SONNENDACH NAVI,2016,190 kW (258 CP),Diesel, 124.400 km,automata,28.490 EUR (brut) 23.941 EUR (net)
BMW 530d,2011,180 kW (245 CP),Diesel, 134.600 km,automata,21.200 EUR (brut)
BMW 535i xDrive Gran Turismo Hud Pano Leder,2011,225 kW (306 CP),Benzina, 270.000 km,automata,14.500 EUR (brut) 12.185 EUR (net)
BMW 530d Sport-Aut. Xenon Nappa Leder Navi Dsp 1hd,2012,190 kW (258 CP),Diesel, 227.890 km,automata,15.173 EUR (brut) 12.750 EUR (net)
BMW 530d Sport-Aut. Xenon Leder Navi Tv H&K Dab 1hd,2014,190 kW (258 CP),Diesel, 180.695 km,automata,20.500 EUR (brut) 17.227 EUR (net)
"BMW 525d ,VOLL ,TÃœV NEU!!NAVI ,TEMP,XENON,...",2005,130 kW (177 CP),Diesel, 224.500 km,manuala,6.250 EUR (brut)
BMW 525d Edition Lifestyle E60 *Automatik*Navi*Xenon,2008,145 kW (197 CP),Diesel, 209.583 km,automata,7.980 EUR (brut)
BMW 540i xDrive M Sportpaket LED HUD PDC Integral,2018,250 kW (340 CP),Benzina, 25.300 km,automata,51.680 EUR (brut) 43.429 EUR (net)
BMW 520d Lim*G30*HEAD-UP*DIGITAL-TACHO*108 CO2*EU6*,2017,140 kW (190 CP),Diesel, 17.890 km,automata,33.850 EUR (brut) 28.445 EUR (net)
BMW 550i xDrive Limousine M Sportpaket Komfortsitze,2011,300 kW (408 CP),Benzina, 96.900 km,automata,24.850 EUR (brut)
BMW 530i Sport Line Aut. Leder Head-Up Navi LED PDC,2017,185 kW (252 CP),Benzina, 24.550 km,automata,40.690 EUR (brut) 34.193 EUR (net)
BMW 530i Sport Line Aut. Leder Head-Up Navi LED PDC,2017,185 kW (252 CP),Benzina, 21.750 km,automata,40.690 EUR (brut) 34.193 EUR (net)
BMW 530i xDrive M Sportpaket EGSD HUD LED,2017,185 kW (252 CP),Benzina, 24.850 km,automata,44.790 EUR (brut) 37.639 EUR (net)
BMW 525dA Lim. NaviProf.HUD.PDC.SHZ.SpeedL.HiFi.BT,2014,160 kW (218 CP),Diesel, 80.368 km,automata,24.888 EUR (brut) 20.914 EUR (net)
BMW 530 D Limousine Leder Navi Professional Xenon,2011,180 kW (245 CP),Diesel, 195.500 km,manuala,14.750 EUR (brut)
BMW 540i Limousine Luxury Line HUD*LED*NAVI*AHK*HIFI,2018,250 kW (340 CP),Benzina, 24.950 km,automata,50.739 EUR (brut) 42.638 EUR (net)
"BMW 520d Aut. VOLLAUSSTATTUNG,Hochdruckpumpe defekt",2010,120 kW (163 CP),Diesel, 171.620 km,automata,9.000 EUR (brut)
BMW 518d Comfort/Navi/Klima/Xenon/PDC,2015,110 kW (150 CP),Diesel, 176.285 km,automata,15.946 EUR (brut) 13.400 EUR (net)
BMW 520 520d M-Sport Paket Leder Panoramadach,2013,135 kW (184 CP),Diesel, 140.000 km,manuala,7.990 EUR (brut)
BMW 540i*Limo*HeadUp*Standh*Softclose*ACC*Hifi*LED*,2017,250 kW (340 CP),Benzina, 10.740 km,automata,44.990 EUR (brut) 37.807 EUR (net)
BMW 523i Lim. Aut*Navi*Leder*Xenon*Glasdach*PDC*,2008,140 kW (190 CP),Benzina, 136.124 km,automata,9.990 EUR (brut)
BMW 520d Lim. Navi Xenon el.GSHD SHZ PDC Alu,2006,120 kW (163 CP),Diesel, 169.503 km,manuala,5.350 EUR (brut)
BMW 525d,2007,145 kW (197 CP),Diesel, 215.000 km,manuala,8.200 EUR (brut)
BMW 525d Sport-Aut.,2015,160 kW (218 CP),Diesel, 85.200 km,automata,25.500 EUR (brut)
BMW 530d xDrive Aut.,2013,190 kW (258 CP),Diesel, 209.000 km,automata,14.500 EUR (brut)
BMW 530i Aut. M SPORTPAKET AB 399 ‚¬ OHNE A. ACC H-UP,2017,185 kW (252 CP),Benzina, 2.990 km,automata,45.990 EUR (brut) 38.647 EUR (net)
BMW 530d Aut. LUXURY NIGHTV.BO&WI STANDHZG NP:99.050,2016,195 kW (265 CP),Diesel, 38.990 km,automata,53.790 EUR (brut) 45.202 EUR (net)
BMW 520d Lim. EU6d-Temp Aut. M Sportpaket Navi Prof.,2018,140 kW (190 CP),Diesel, 15.360 km,automata,47.385 EUR (brut) 39.819 EUR (net)
BMW 520d*M-Paket*Navi Prof*Bi-Xenon*SHD*PDC*,2011,135 kW (184 CP),Diesel, 248.543 km,automata,14.899 EUR (brut) 12.520 EUR (net)
BMW 523i Aut.*NAVI*LEDER*XENON*18 ZOLL*PDC*GARANTIE*,2010,150 kW (204 CP),Benzina, 71.566 km,automata,19.490 EUR (brut)
BMW 523i Aut.*NAVI*LEDER*XENON* TEMPO*PDC*GARANTIE*,2007,140 kW (190 CP),Benzina, 98.884 km,automata,13.490 EUR (brut)
BMW 520d Luxury Line Navi Prof. Aut. Klimaaut. PDC,2016,140 kW (190 CP),Diesel, 54.566 km,automata,26.490 EUR (brut) 22.261 EUR (net)
BMW 5er Lim. 525i *Navi*Sitzheizung*,2005,141 kW (192 CP),Benzina, 173.632 km,manuala,6.389 EUR (brut)
BMW 535d Limousine M-Paket HUD*Keyless GO*Navi Prov,2009,210 kW (286 CP),Diesel, 175.000 km,automata,13.950 EUR (brut)
"BMW 530d M-Sportpaket, foliert  ,Head-Up",2014,190 kW (258 CP),Diesel, 75.000 km,automata,33.000 EUR (brut)
BMW 530d Limousine / SHZ / PDC / NAVI / Bi-XENON,2010,180 kW (245 CP),Diesel, 111.200 km,automata,17.950 EUR (brut)
BMW 520  2.2 zum verkaufen neue TÃœV,2005,124 kW (169 CP),Benzina, 195.000 km,automata,5.300 EUR (brut)
BMW 530d GT Navi/Led/Xen/SOFT/KAM/PANO/AHK/20ZOLL,2010,180 kW (245 CP),Diesel, 110.000 km,automata,17.980 EUR (brut)
BMW 520d A  NAVI-XENON-PDC-ALU,2015,140 kW (190 CP),Diesel, 78.300 km,automata,21.590 EUR (brut)
BMW 520d Lim. NaviPro/Xenon/Glasdach/Scheckheft,2013,135 kW (184 CP),Diesel, 109.000 km,automata,16.950 EUR (brut)
BMW 535d xDrive Sport-Aut.,2013,230 kW (313 CP),Diesel, 202.000 km,automata,22.500 EUR (brut)
"BMW 530d Gran Turismo SoftClose Kamera NavProf 0,99%",2010,180 kW (245 CP),Diesel, 210.000 km,automata,14.890 EUR (brut)
BMW 520d xDrive EURO6 Head-Up LED Standhzg. Navi Bus,2018,140 kW (190 CP),Diesel, 19.060 km,automata,48.403 EUR (brut) 40.675 EUR (net)
BMW 550i SMG M-Packet  ( Kupplung defekt ),2006,270 kW (367 CP),Benzina, 164.000 km,automata,10.400 EUR (brut)
"BMW 520d Limousine NaviPr. HUD Leder 18""LM Dr.Ass.",2017,140 kW (190 CP),Diesel, 13.000 km,automata,35.800 EUR (brut) 30.084 EUR (net)
BMW 525d e60  facelift Softclose Navi xeno...,2010,145 kW (197 CP),Diesel, 174.500 km,automata,10.000 EUR (brut)
BMW 535d xDrive Gran Turismo Luxury Line LED el.GSD,2015,230 kW (313 CP),Diesel, 86.701 km,automata,34.890 EUR (brut) 29.319 EUR (net)
BMW 535i M-Performance Xenon PDC Navi Kamera Sitzh.,2011,225 kW (306 CP),Benzina, 129.000 km,automata,21.490 EUR (brut)
BMW 535 Gran Turismo Navi*Xenon*Leder*HeadUp*Kamera,2011,220 kW (299 CP),Diesel, 171.000 km,automata,17.000 EUR (brut)
BMW 530d xDrive Aut.// ESD// NAVI// PDC// SPORT,2009,173 kW (235 CP),Diesel, 96.000 km,automata,12.999 EUR (brut)
BMW 530d Limo./2.Hand/Voll Austt./Voll Scheckheft/,2005,160 kW (218 CP),Diesel, 185.000 km,automata,7.999 EUR (brut)
BMW 523i Aut. ::LIMOUSINE::,2005,130 kW (177 CP),Benzina, 230.000 km,automata,4.200 EUR (brut)
BMW 550 i*Klima*Leder*Sitzhei.*Navi*Tempoat*Xenon*,2006,270 kW (367 CP),Benzina, 183.632 km,automata,12.800 EUR (brut)
BMW 520d Limousine Sport Line Vorteil zur Neuwagen-U,2017,140 kW (190 CP),Diesel, 19.568 km,automata,38.970 EUR (brut) 32.748 EUR (net)
BMW 530d Sport-Aut.M Sportpaket,2012,190 kW (258 CP),Diesel, 259.963 km,automata,13.900 EUR (brut)
BMW 525i,2006,160 kW (218 CP),Benzina, 186.000 km,manuala,11.250 EUR (brut)
BMW 530d Aut. Luxury Line NAVIPROF*GSD*HUD*NAPPA*H/K,2016,190 kW (258 CP),Diesel, 123.500 km,automata,24.950 EUR (brut) 20.966 EUR (net)
BMW 530 530d**LEDER/NAVI/XXENON**,2010,180 kW (245 CP),Diesel, 230.000 km,manuala,10.990 EUR (brut)
BMW 525 d Leder Navi Kurvenlicht e-Sitze Fernlichtas,2014,160 kW (218 CP),Diesel, 114.280 km,automata,23.990 EUR (brut) 20.160 EUR (net)
BMW 525Diesel,2005,162 kW (220 CP),Diesel, 351.000 km,automata,5.999 EUR (brut)
BMW 530d xDrive Touring Aut.°Navi ° Komfortsitze,2006,170 kW (231 CP),Diesel, 242.500 km,automata,4.990 EUR (brut)
BMW 520d EfficientDynamics Edition ° Navi ° Xenon °,2012,135 kW (184 CP),Diesel, 149.950 km,manuala,12.990 EUR (brut)
BMW 530d M-Paket ab Werk,2006,170 kW (231 CP),Diesel, 250.000 km,automata,7.500 EUR (brut)
BMW 530 d TÃ¼v 11.2019,2007,170 kW (231 CP),Diesel, 228.000 km,manuala,4.999 EUR (brut)
"BMW 523i Aut., Checkheft gepflegt, AHK,",2005,130 kW (177 CP),Benzina, 146.900 km,automata,6.250 EUR (brut)
BMW 530i E60  Limo Automatik *Navi *Leder *Xenon *,2007,190 kW (258 CP),Benzina, 163.602 km,automata,9.980 EUR (brut)
BMW 525d Aut.,2007,130 kW (177 CP),Diesel, 260.000 km,automata,5.600 EUR (brut)
"BMW 530D F10, LED, INDIVIDUAL, HUD, Harman...",2013,190 kW (258 CP),Diesel, 127.100 km,automata,23.399 EUR (brut)
BMW 535 Gran Turismo Leder Navi Xenon DVD KameraVoll,2009,225 kW (306 CP),Benzina, 56.000 km,automata,20.399 EUR (brut)
BMW 520GT NAVI MEMORY KOMFORTSITZE LUXURY-LINE EURO6,2014,135 kW (184 CP),Diesel, 115.000 km,automata,21.480 EUR (brut) 18.050 EUR (net)
BMW 530d M Paket Pano Xenon Navi ALCANTARA VOLL,2013,190 kW (258 CP),Diesel, 143.000 km,automata,21.800 EUR (brut)
BMW 525d Aut.,2009,145 kW (197 CP),Diesel, 240.000 km,automata,9.900 EUR (brut)
BMW 530D E60 Euro 4 Limousine,2005,160 kW (218 CP),Diesel, 294.000 km,automata,3.900 EUR (brut)
BMW 520iA M-Sportpaket HGSD HUD NAVI LED W-LAN EU6,2019,135 kW (184 CP),Benzina,0 km,automata,69.270 EUR (brut) 58.210 EUR (net)
BMW 520dA Sport Line NAVI HUD KAMERA LED LEDER EU6,2017,140 kW (190 CP),Diesel, 19.700 km,automata,37.550 EUR (brut) 31.555 EUR (net)
"BMW 535 GT  Xdrive AHK, HuD, B&O, Night Vision, SH",2015,230 kW (313 CP),Diesel, 110.000 km,automata,31.000 EUR (brut)
BMW 528i Aut.*NaviProf./Leder/Bi-Xenon/inkl.Garantie,2010,190 kW (258 CP),Benzina, 148.000 km,manuala,16.490 EUR (brut)
BMW 520d Aut. *Navi / EGSD / Leder-Komfortsitze*,2011,135 kW (184 CP),Diesel, 100.000 km,automata,16.999 EUR (brut)
BMW 535d xDrive Navi prof./Head Up/Schiebedach/Euro6,2014,230 kW (313 CP),Diesel, 94.900 km,automata,24.990 EUR (brut)
BMW 520D*AUS 1 HAND*FINANZIERUNG MÃ–GLICH*EURO-6*,2015,140 kW (190 CP),Diesel, 92.721 km,manuala,19.490 EUR (brut) 16.378 EUR (net)
"BMW 520d Lim. Bi-Xenon,Navi,Sitzheizung,PDC,Alu",2011,135 kW (184 CP),Diesel, 119.127 km,manuala,14.950 EUR (brut)
BMW 535D 8Gang Sportautomatik,2010,220 kW (299 CP),Diesel, 208.500 km,automata,13.990 EUR (brut)
BMW 525d xDrive Limousine,2016,160 kW (218 CP),Diesel, 56.075 km,automata,29.890 EUR (brut) 25.118 EUR (net)
BMW 530d Aut. M-Sportpaket+LED+HUD+HiFi+Navi Prof.+,2018,195 kW (265 CP),Diesel, 14.800 km,automata,57.840 EUR (brut) 48.605 EUR (net)
BMW 525d Aut.,2015,160 kW (218 CP),Diesel, 35.500 km,automata,28.900 EUR (brut)
BMW 520d Edition Exclusive VOLLEDER!!! NR:9011,2007,130 kW (177 CP),Diesel, 277.000 km,manuala,5.500 EUR (brut)
BMW 520i Lim. EU6d-Temp Aut. M Sportpaket Navi Prof.,2018,135 kW (184 CP),Benzina, 15.404 km,automata,47.895 EUR (brut) 40.248 EUR (net)
BMW 530i Luxury Line Komforts.+ BelÃ¼ft. DA+ HUD AHK,2018,185 kW (252 CP),Benzina, 17.200 km,automata,44.444 EUR (brut) 37.348 EUR (net)
BMW 520d Sport-Aut. M-Sportpaket / Head Up / Xenon,2013,135 kW (184 CP),Diesel, 94.000 km,automata,24.000 EUR (brut) 20.168 EUR (net)
BMW 525d Aut.,2005,130 kW (177 CP),Diesel, 220.400 km,automata,5.800 EUR (brut)
"BMW 530dA xDrive LEDER XENON PDC 1.HAND *RATE 199,-‚¬",2011,190 kW (258 CP),Diesel, 116.500 km,automata,18.990 EUR (brut) 15.958 EUR (net)
BMW 525d HeadUP LEDER NAVI AHK e.HECKKLAP *RATE 175‚¬,2010,150 kW (204 CP),Diesel, 114.980 km,automata,16.500 EUR (brut)
BMW 523i 1.HAND NAVI LEDER XENON e.KLAPPE RATE 189 ‚¬,2010,150 kW (204 CP),Benzina, 82.980 km,automata,19.400 EUR (brut)
BMW 520d M-PAKET XENON LEDER NAVI PDC SHZ *RATE 199‚¬,2012,135 kW (184 CP),Diesel, 123.200 km,automata,18.990 EUR (brut)
"BMW 520 d Business aut. EURO6 NAVI - XENO - 19""",2014,135 kW (184 CP),Diesel, 88.200 km,automata,19.900 EUR (brut)
BMW 525d Limousine,2017,170 kW (231 CP),Diesel, 17.100 km,automata,39.900 EUR (brut) 33.529 EUR (net)
"BMW 535 Gran Turismo Panoramadach Xenon Navi 20""Alu",2010,220 kW (299 CP),Diesel, 149.998 km,automata,15.990 EUR (brut)
BMW 523i Navi  Xenon Automatik,2007,130 kW (177 CP),Benzina, 150.000 km,manuala,7.500 EUR (brut)
BMW 520i e60 5er,2005,125 kW (170 CP),Benzina, 173.000 km,manuala,6.500 EUR (brut)
BMW 540i Limousine Vorteil zur Neuwagen-UPE 28.268EU,2018,250 kW (340 CP),Benzina, 18.050 km,automata,63.990 EUR (brut) 53.773 EUR (net)
BMW 520i Limousine Vorteil zur Neuwagen-UPE 12.750EU,2018,135 kW (184 CP),Benzina, 5.449 km,automata,41.990 EUR (brut) 35.286 EUR (net)
BMW 520d Limousine EURO6 Sportpaket HiFi Navi Bus. T,2015,140 kW (190 CP),Diesel, 61.766 km,automata,26.390 EUR (brut) 22.176 EUR (net)
BMW 525d Limousine Head-Up HiFi Standhzg. GSD RFK,2016,160 kW (218 CP),Diesel, 75.721 km,automata,27.780 EUR (brut) 23.345 EUR (net)
BMW 520d Limousine HiFi Dyn. DÃ¤mpfer GSD RFK RTTI,2015,140 kW (190 CP),Diesel, 43.180 km,automata,26.904 EUR (brut)
BMW 530d F10 Head Up Navi Xenon Schiebedach,2010,180 kW (245 CP),Diesel, 285.000 km,automata,11.990 EUR (brut)
BMW 530d Aut.,2010,180 kW (245 CP),Diesel, 156.000 km,automata,18.500 EUR (brut)
BMW 530d xDrive Sport Line Bluetooth HUD Navi LED,2017,195 kW (265 CP),Diesel, 59.377 km,automata,47.830 EUR (brut) 40.193 EUR (net)
BMW 520d Limousine Sportpaket Bluetooth HUD Navi LED,2019,140 kW (190 CP),Diesel,0 km,automata,67.830 EUR (brut) 57.000 EUR (net)
BMW 520d Sport-Aut. F1 Navi Prof. Sportpaket,2010,135 kW (184 CP),Diesel, 158.500 km,automata,13.950 EUR (brut)
BMW 535 dA Msport,2016,230 kW (313 CP),Diesel, 57.000 km,automata,36.800 EUR (brut)
BMW 530 535 dA 313cv Msport,2016,230 kW (313 CP),Diesel, 57.000 km,automata,36.800 EUR (brut)
BMW 520dA Navi Xenon Kamera Shz PDC,2014,140 kW (190 CP),Diesel, 99.320 km,automata,17.480 EUR (brut) 14.689 EUR (net)
BMW 535D 400PS,2009,294 kW (400 CP),Diesel, 260.000 km,automata,12.000 EUR (brut)
BMW 540i xDrive Aut. Sport Line Vollausstattung,2019,250 kW (340 CP),Benzina, 2.500 km,automata,48.700 EUR (brut)
BMW 523i Aut.TopZustand Navi+Xenon+Leder,2008,140 kW (190 CP),Benzina, 112.000 km,automata,10.490 EUR (brut)
BMW 525 (F10/F11) Luxury *NAVI PROF*E6*,2015,160 kW (218 CP),Diesel, 140.000 km,manuala,19.300 EUR (brut)
BMW 525d E60,2006,130 kW (177 CP),Diesel, 242.170 km,automata,5.900 EUR (brut)
BMW 520d Automatic Sport. Leder Navi Euro5,2013,135 kW (184 CP),Diesel, 104.000 km,automata,17.500 EUR (brut)
BMW 525d Aut.,2005,147 kW (200 CP),Diesel, 168.000 km,automata,8.000 EUR (brut)
BMW 530d e60,2005,170 kW (231 CP),Diesel, 173.000 km,automata,6.900 EUR (brut)
BMW 530D*X-DRIVE*NAVI-PRO*LEDER*BI-XENON*TEMPO*EUR6*,2015,190 kW (258 CP),Diesel, 64.000 km,automata,26.900 EUR (brut) 22.605 EUR (net)
BMW 530xd Aut.,2007,173 kW (235 CP),Diesel, 252.000 km,automata,8.000 EUR (brut)
"BMW 530d Aut.  Head Up, Aktivlenkung, Neue Bremsen",2007,170 kW (231 CP),Diesel, 158.000 km,automata,12.000 EUR (brut)
BMW 530Diesel top Zustand,2010,180 kW (245 CP),Diesel, 185.000 km,automata,16.250 EUR (brut)
BMW 550i xDrive Sport-Aut. Bang Olufsen 20Zoll M,2014,330 kW (449 CP),Benzina, 174.000 km,automata,32.500 EUR (brut)
BMW 525i zu verkaufen,2005,160 kW (218 CP),Benzina, 193.500 km,automata,6.000 EUR (brut)
BMW 523i Aut.,2008,140 kW (190 CP),Benzina, 156.000 km,automata,10.900 EUR (brut)
BMW 525d Aut.,2007,145 kW (197 CP),Diesel, 230.000 km,automata,7.000 EUR (brut)
