CarModel,Year,Engine,Fuel,Price,Milage
BMW Seria 3 3GT,2014,2 000 cm3,Diesel,15 930                    EUR,200 000 km
BMW Seria 5 520,2015,1 995 cm3,Diesel,18 480                    EUR,137 000 km
BMW Seria 3 320,2013,1 998 cm3,Diesel,14 999                    EUR,168 000 km
BMW Seria 4 420,2016,1 995 cm3,Diesel,23 900                    EUR,122 000 km
BMW Seria 7,2016,3 000 cm3,Diesel,41 000                    EUR,180 000 km
BMW Seria 5 520,2010,2 000 cm3,Diesel,8 650                    EUR,243 000 km
BMW Seria 4,2016,1 995 cm3,Diesel,22 900                    EUR,198 000 km
BMW Seria 4 420,2018,1 995 cm3,Diesel,47 481                    EUR,7 500 km
BMW Seria 7 730,2015,3 000 cm3,Diesel,35 500                    EUR,68 500 km
BMW Seria 3 320,2009,1 997 cm3,Diesel,8 950                    EUR,168 000 km
BMW Seria 5,2012,1 995 cm3,Diesel,11 980                    EUR,214 000 km
BMW Seria 5 530,2005,2 997 cm3,Diesel,6 990                    EUR,200 000 km
BMW Seria 4 435,2014,2 979 cm3,Benzina,26 499                    EUR,30 000 km
BMW Seria 3 320,2014,1 995 cm3,Diesel,19 989                    EUR,72 885 km
BMW Seria 6 640,2013,2 993 cm3,Diesel,37 900                    EUR,122 700 km
BMW Seria 5 520,2014,1 995 cm3,Diesel,25 499                    EUR,122 500 km
BMW Seria 3 320,2013,1 993 cm3,Diesel,14 900                    EUR,207 000 km
BMW Seria 1 116,2015,1 995 cm3,Diesel,13 200                    EUR,36 970 km
BMW Seria 3 318,2015,1 995 cm3,Diesel,12 950                    EUR,151 777 km
BMW Seria 5 530,2013,2 995 cm3,Diesel,14 500                    EUR,268 000 km
BMW Seria 5 530,2015,2 998 cm3,Diesel,25 899                    EUR,134 789 km
BMW Seria 3 3GT,2014,1 997 cm3,Benzina,15 300                    EUR,190 000 km
BMW Seria 1 120,2008,1 995 cm3,Diesel,7 990                    EUR,184 300 km
BMW Seria 3 320,2013,2 000 cm3,Diesel,12 400                    EUR,210 000 km
